Token,LOC,PER,ORG,MISC
PREMIÈRE,,,,
PARTIE,,,,
I,,,,
--,,,,
LA,,,,
FABRIQUE,,,,
Je,,,,
suis,,,,
né,,,,
le,,,,
13,,,,
mai,,,,
18,,,,
...,,,,
,,,,
dans,,,,
une,,,,
ville,,,,
du,X,,,
Languedoc,X,,,
où,,,,
l',,,,
on,,,,
trouve,,,,
,,,,
comme,,,,
dans,,,,
toutes,,,,
les,,,,
villes,,,,
du,X,,,
Midi,X,,,
,,,,
beaucoup,,,,
de,,,,
soleil,,,,
,,,,
pas,,,,
mal,,,,
de,,,,
poussière,,,,
,,,,
un,,,,
couvent,,,,
de,,,,
carmélites,,,X,
et,,,,
deux,,,,
ou,,,,
trois,,,,
monuments,,,,
romains,,,,
.,,,,
Mon,,,,
père,,,,
,,,,
M.,,X,,
Eyssette,,X,,
,,,,
qui,,,,
faisait,,,,
à,,,,
cette,,,,
époque,,,,
le,,,,
commerce,,,,
des,,,,
foulards,,,,
,,,,
avait,,,,
,,,,
aux,,,,
portes,,,,
de,,,,
la,,,,
ville,,,,
,,,,
une,,,,
grande,,,,
fabrique,,,,
dans,,,,
un,,,,
pan,,,,
de,,,,
laquelle,,,,
il,,,,
s',,,,
était,,,,
taillé,,,,
une,,,,
habitation,,,,
commode,,,,
,,,,
tout,,,,
ombragée,,,,
de,,,,
platanes,,,,
,,,,
et,,,,
séparée,,,,
des,,,,
ateliers,,,,
par,,,,
un,,,,
vaste,,,,
jardin,,,,
.,,,,
C',,,,
est,,,,
là,,,,
que,,,,
je,,,,
suis,,,,
venu,,,,
au,,,,
monde,,,,
et,,,,
que,,,,
j',,,,
ai,,,,
passé,,,,
les,,,,
premières,,,,
,,,,
les,,,,
seules,,,,
bonnes,,,,
années,,,,
de,,,,
ma,,,,
vie,,,,
.,,,,
Aussi,,,,
ma,,,,
mémoire,,,,
reconnaissante,,,,
a,,,,
-t,,,,
-elle,,,,
gardé,,,,
du,,,,
jardin,,,,
,,,,
de,,,,
la,,,,
fabrique,,,,
et,,,,
des,,,,
platanes,,,,
un,,,,
impérissable,,,,
souvenir,,,,
,,,,
et,,,,
lorsque,,,,
à,,,,
la,,,,
ruine,,,,
de,,,,
mes,,,,
parents,,,,
il,,,,
m',,,,
a,,,,
fallu,,,,
me,,,,
séparer,,,,
de,,,,
ces,,,,
choses,,,,
,,,,
je,,,,
les,,,,
ai,,,,
positivement,,,,
regrettées,,,,
comme,,,,
des,,,,
êtres,,,,
.,,,,
Je,,,,
dois,,,,
dire,,,,
,,,,
